year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1999,Coimbatore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Cuddalore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Dharmapuri,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Dindigul,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Erode,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Kancheepuram,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Kanyakumari,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Karur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Madurai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Nagapattinam,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Namakkal,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Perambular,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Pudukkottai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Ramananthapuram,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Salem,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Sivagangai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Thanjavur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,The Nilgiris,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Theni,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Thirunelveli,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Thiruvallur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Thiruvarur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Thoothukudi,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Tiruchirappalli,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Tiruvannamalai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Vellore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Villupuram,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Virudhunagar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2000,Chennai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2000,Coimbatore,16700.0,15286.0,5537.0,5256.0,10189.0,12526.0,32426.0,33068.0
2000,Cuddalore,13529.0,13542.0,4509.0,7178.0,4845.0,6319.0,22883.0,27039.0
2000,Dharmapuri,8585.0,8707.0,4819.0,4262.0,3210.0,3638.0,16614.0,16607.0
2000,Dindigul,6529.0,7387.0,3153.0,3580.0,2640.0,3830.0,12322.0,14797.0
2000,Erode,15773.0,20959.0,5024.0,6382.0,6441.0,6981.0,27238.0,34322.0
2000,Kancheepuram,9689.0,12275.0,2950.0,5270.0,2194.0,3980.0,14833.0,21525.0
2000,Kanyakumari,3384.0,3444.0,1628.0,1569.0,1765.0,1957.0,6777.0,6970.0
2000,Karur,3220.0,4842.0,1071.0,1476.0,753.0,1137.0,5044.0,7455.0
2000,Madurai,8955.0,15419.0,3510.0,7468.0,4106.0,9387.0,16571.0,32274.0
2000,Nagapattinam,7021.0,8203.0,2064.0,3053.0,1506.0,3742.0,10591.0,14998.0
2000,Namakkal,3574.0,4946.0,1536.0,1939.0,2006.0,2367.0,7116.0,9252.0
2000,Perambular,5661.0,5939.0,2349.0,1663.0,2015.0,1836.0,10025.0,9438.0
2000,Pudukkottai,5267.0,14467.0,2384.0,3959.0,1811.0,4702.0,9462.0,23128.0
2000,Ramananthapuram,1860.0,4797.0,665.0,1315.0,342.0,489.0,2867.0,6601.0
2000,Salem,9610.0,14687.0,4435.0,5619.0,7376.0,5138.0,21421.0,25444.0
2000,Sivagangai,2464.0,5143.0,662.0,1219.0,352.0,965.0,3478.0,7327.0
2000,Thanjavur,15988.0,23804.0,4626.0,7722.0,3446.0,7420.0,24060.0,38946.0
2000,The Nilgiris,2474.0,2789.0,709.0,841.0,1903.0,966.0,5086.0,4596.0
2000,Theni,7572.0,7260.0,5295.0,2663.0,2215.0,2500.0,15082.0,12423.0
2000,Thirunelveli,9653.0,13924.0,4068.0,4248.0,3367.0,5398.0,17088.0,23570.0
2000,Thiruvallur,9572.0,10522.0,3783.0,3926.0,1123.0,2851.0,14478.0,17299.0
2000,Thiruvarur,10909.0,14595.0,5007.0,5605.0,2377.0,5787.0,18293.0,25987.0
2000,Thoothukudi,2567.0,4519.0,1239.0,908.0,574.0,948.0,4380.0,6375.0
